word,translation,phonology
ability,qamasep,ɹɑmɑʃep
about,ajk,ɑdʒə
absolute,otlihetu,otlɪhetu
affection,plizoj,plɪzodʒ
ago,proti,protɪ
alittle,orisks,orɪʃəʃ
amazing,atefuco,ɑteħuko
ancestor,cofeprkgar,koħeprəgɑr
and,hu,hu
apple,owulo,owulo
artifact,awre,ɑwre
aspect,isu,ɪʃu
at,o,o
beautiful,egemk,egemə
before,arute,ɑrute
belief,mkvoji,məvodʒɪ
believe,drodravkc,drodrɑvək
bill,ixad,ɪðɑd
birthday,ktluci,ətlukɪ
black,vagliglu,vɑglɪglu
blood,du,du
blue,klu,əlu
brightness,glkblum,gləblum
brown,rklu,rəlu
but,glo,glo
by,ut,ut
bye,ol,ol
call,aplk,ɑplə
claim,wrkbe,wrəbe
clothing,adrkg,ɑdrəg
coal,vaglig,vɑglɪg
cold,opridla,oprɪdlɑ
concept,birkn,bɪrən
condolence,kgebi,əgebɪ
congratulation,kdkprixo,ədəprɪðo
conjugation,qksutuhi,ɹəʃutuhɪ
convenience,pladimozic,plɑdɪmozɪk
conversation,patlkpa,pɑtləpɑ
cornerstone,atlelomevluh,ɑtlelomevluh
crazy,sidobe,ʃɪdobe
darkness,nevig,nevɪg
day,ki,əɪ
describe,buxk,buðə
desire,azicu,ɑzɪku
destroy,iwrutif,ɪwrutɪħ
diverse,qiblk,ɹɪblə
eat,rkd,rəd
english,anglo,ɑnglo
environment,kvlkwe,əvləwe
evening,agoz,ɑgoz
every,oquj,oɹudʒ
fashion,klkje,ələdʒe
fluidity,suwrkg,ʃuwrəg
food,xodk,ðodə
for,muv,muv
freedom,kpruf,əpruħ
from,iblo,ɪblo
gifts,ig,ɪg
give,gkbk,gəbə
god,no,no
good,ozo,ozo
great,tib,tɪb
green,imlu,ɪmlu
handsome,ufe,uħe
happy,blavlavi,blɑvlɑvɪ
hate,iqkqe,ɪɹəɹe
he,e,e
health,wru,wru
heat,qackla,ɹɑkəlɑ
hello,megat,megɑt
her,e,e
hi,wih,wɪh
his,e,e
holiday,kdici,ədɪkɪ
home,rkducklalu,rədukəlɑlu
house,rkduck,rədukə
i,i,ɪ
ice,oprid,oprɪd
imagine,owkxa,owəðɑ
imbue,olaxej,olɑðedʒ
in,a,ɑ
it,e,e
its,e,e
jane,lirum,lɪrum
just,memoq,memoɹ
keep,iq,ɪɹ
know,pra,prɑ
language,latice,lɑtɪke
later,fivlom,ħɪvlom
lazy,rkhe,rəhe
leaf,im,ɪm
lexicon,prehk,prehə
life,awuzi,ɑwuzɪ
light,qacklu,ɹɑkəlu
love,plizoj,plɪzodʒ
lunch,niqa,nɪɹɑ
make,era,erɑ
maybe,elucud,elukud
meet,azob,ɑzob
meh,ople,ople
merely,nizece,nɪzeke
million,apkgru,ɑpəgru
morning,cufavi,kuħɑvɪ
morphology,juqimk,dʒuɹɪmə
most,kseb,əʃeb
motive,idk,ɪdə
my,i,ɪ
name,tlamkd,tlɑməd
nation,kpi,əpɪ
necessary,letelaplut,letelɑplut
need,ru,ru
new,pkdac,pədɑk
nice,igra,ɪgrɑ
night,ajk,ɑdʒə
no,dk,də
nowadays,vubuxe,vubuðe
obligation,udkpaq,udəpɑɹ
of,o,o
ok,osod,oʃod
old,ep,ep
on,prez,prez
one,eblowoq,eblowoɹ
ongoing,ulahe,ulɑhe
only,diqkna,dɪɹənɑ
opinion,ugijogrev,ugɪdʒogrev
or,klut,əlut
orthography,irozi,ɪrozɪ
other,kglesu,əgleʃu
our,ni,nɪ
own,ce,ke
past,plopro,plopro
peace,tkblk,təblə
pen,etuz,etuz
person,setexiw,ʃeteðɪw
pet,grk,grə
phonology,tkxkvlo,təðəvlo
pigment,awro,ɑwro
place,mopufa,mopuħɑ
possiblity,igrivleh,ɪgrɪvleh
preference,nepizono,nepɪzono
preserve,tlackv,tlɑkəv
promote,ejadri,edʒɑdrɪ
pronoun,opeq,opeɹ
proud,ox,oð
purpose,privu,prɪvu
reason,ijo,ɪdʒo
red,dulu,dulu
resort,gralul,grɑlul
robe,maquzu,mɑɹuzu
run,qkt,ɹət
sea,jaf,dʒɑħ
see,zal,zɑl
she,e,e
show,egrux,egruð
simplicity,xegrkxidrubkz,ðegrəðɪdrubəz
since,abos,ɑboʃ
situation,efej,eħedʒ
sky,k,ə
snow,egli,eglɪ
so,awo,ɑwo
soil,rk,rə
sound,or,or
speak,pkcar,pəkɑr
status,bodif,bodɪħ
stop,bowrkh,bowrəh
story,ijkfa,ɪdʒəħɑ
suit,dedkh,dedəh
sun,haj,hɑdʒ
syntax,kpo,əpo
talk,haju,hɑdʒu
tell,bal,bɑl
terrible,efab,eħɑb
thank,azi,ɑzɪ
that,zi,zɪ
their,ne,ne
then,eb,eb
these,zi,zɪ
they,ne,ne
thing,ito,ɪto
think,wac,wɑk
this,zi,zɪ
those,zi,zɪ
three,vut,vut
time,oxova,oðovɑ
to,nojk,nodʒə
tomato,suhit,ʃuhɪt
too,zkl,zəl
true,on,on
two,plkhel,pləhel
ultimately,imuhitluv,ɪmuhɪtluv
unicorn,uri,urɪ
use,pleraxu,plerɑðu
voyage,celiza,kelɪzɑ
we,ni,nɪ
welcome,ozkp,ozəp
well,zk,zə
white,eglilu,eglɪlu
without,tlisav,tlɪʃɑv
wonderful,xkrkpre,ðərəpre
word,zezos,zezoʃ
world,wetlk,wetlə
year,glkme,gləme
yellow,hajlu,hɑdʒlu
yes,ip,ɪp
you,u,u
young,jifa,dʒɪħɑ
your,u,u
yours,nu,nu
